City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
103,Hithadhoo,MV,-0.6,73.0833,81.05,66,94,2.51,overcast clouds
104,Babu,CN,24.4167,111.5167,37.6,89,75,6.73,broken clouds
105,Gotsu,JP,35.0,132.2167,40.53,60,100,6.02,overcast clouds
106,Carutapera,BR,-1.195,-46.02,76.06,87,100,3.53,light rain
107,Yangambi,CD,0.8102,24.4336,73.53,39,5,1.72,clear sky
108,Goderich,CA,43.7501,-81.7165,17.04,73,84,5.75,broken clouds
109,Zalantun,CN,48.0,122.7167,-3.17,86,1,7.09,clear sky
110,Eyl,SO,7.9803,49.8164,75.13,70,77,21.09,broken clouds
111,Castelnau-Le-Lez,FR,43.6333,3.9,45.55,54,0,2.3,clear sky
112,Clyde River,CA,70.4692,-68.5914,-5.57,59,100,11.5,overcast clouds
113,Saldanha,ZA,-33.0117,17.9442,65.37,85,0,18.48,clear sky
114,Cherskiy,RU,68.75,161.3,-29.31,100,30,1.07,scattered clouds
115,Danilovka,RU,50.3557,44.1168,32.18,97,100,13.91,light snow
116,Georgetown,MY,5.4112,100.3354,83.89,86,20,3.44,few clouds
117,Kahului,US,20.8947,-156.47,80.62,60,20,10.36,few clouds
118,Makakilo City,US,21.3469,-158.0858,79.12,58,0,11.5,clear sky
119,Hobyo,SO,5.3505,48.5268,77.11,77,19,24.34,few clouds
120,Faanui,PF,-16.4833,-151.75,79.68,75,19,11.9,light rain
121,Blind River,CA,46.1834,-82.9582,17.85,79,99,3.89,overcast clouds
122,Mount Gambier,AU,-37.8333,140.7667,62.51,88,100,6.91,overcast clouds
123,Codrington,AU,-38.2667,141.9667,62.04,85,72,4.16,broken clouds
124,Mahibadhoo,MV,3.7833,72.9667,81.79,69,8,10.67,clear sky
125,Ornskoldsvik,SE,63.2909,18.7153,31.82,100,100,8.05,snow
126,Cabras,IT,39.93,8.5314,45.73,79,0,1.88,clear sky
127,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,14.97,light snow
128,Jalu,LY,29.0331,21.5482,53.56,40,0,9.8,clear sky
129,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.03,84,98,8.14,moderate rain
130,Vedeno,RU,42.9703,46.095,18.27,62,19,7.43,few clouds
131,Ilulissat,GL,69.2167,-51.1,12.22,57,75,19.57,broken clouds
132,Rikitea,PF,-23.1203,-134.9692,77.32,74,100,11.43,overcast clouds
133,Sechura,PE,-5.5569,-80.8222,79.79,61,65,17.4,broken clouds
134,La Ronge,CA,55.1001,-105.2842,8.85,66,100,4.61,overcast clouds
135,Kirakira,SB,-10.4544,161.9205,80.26,85,100,8.34,moderate rain
136,Wanaka,NZ,-44.7,169.15,63.1,60,100,1.99,overcast clouds
137,Comodoro Rivadavia,AR,-45.8667,-67.5,91.26,7,0,24.16,clear sky
138,Alanya,TR,36.5438,31.9998,48.33,54,100,6.49,overcast clouds
139,Broome,US,42.2506,-75.833,14.22,55,0,10.0,clear sky
140,Novyy Urengoy,RU,66.0833,76.6333,-9.67,97,100,7.14,overcast clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,87,42,13.4,scattered clouds
142,Bytow,PL,54.1706,17.4919,44.71,82,100,26.35,light rain
143,Luwuk,ID,-0.9516,122.7875,77.56,80,100,3.31,overcast clouds
144,Nakamura,JP,32.9833,132.9333,39.09,73,100,4.21,overcast clouds
145,San Patricio,US,28.017,-97.5169,66.61,26,52,4.54,broken clouds
146,Faya,SA,18.3851,42.4509,50.52,69,0,5.53,clear sky
147,Vila Velha,BR,-20.3297,-40.2925,84.15,80,20,14.0,few clouds
148,Saint George,US,37.1041,-113.5841,64.87,17,0,3.0,clear sky
149,Shawville,CA,45.6001,-76.4827,10.08,70,3,8.9,clear sky
150,Kruisfontein,ZA,-34.0033,24.7314,65.88,86,0,6.64,clear sky
151,Kilindoni,TZ,-7.9139,39.6668,77.0,87,100,6.96,light rain
152,Hasaki,JP,35.7333,140.8333,28.8,70,53,15.93,broken clouds
153,Severo-Kurilsk,RU,50.6789,156.125,23.45,77,87,19.37,overcast clouds
154,Nikolskoye,RU,59.7035,30.7861,26.87,87,100,14.23,light snow
155,Ribeira Grande,PT,38.5167,-28.7,59.4,63,20,10.36,few clouds
156,Kitimat,CA,54.0524,-128.6534,39.58,32,100,4.21,light rain
157,Kilis,TR,36.7161,37.115,32.23,87,100,6.58,overcast clouds
158,George,ZA,-33.963,22.4617,62.15,94,20,5.75,few clouds
159,Malakal,SS,9.5334,31.6605,75.09,20,5,5.39,clear sky
160,Namatanai,PG,-3.6667,152.4333,79.48,81,100,2.26,light rain
161,Kholm,RU,59.2667,32.85,14.43,96,100,9.8,overcast clouds
162,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,3.44,few clouds
163,San Andres,CO,12.5847,-81.7006,84.22,61,20,10.36,few clouds
164,Clyde,US,41.3042,-82.9752,18.39,70,63,6.55,broken clouds
165,Kautokeino,NO,69.0125,23.0412,2.14,97,99,5.39,overcast clouds
