City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
148,Saint George,US,64.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
150,Kruisfontein,ZA,65.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
151,Kilindoni,TZ,77.0,light rain,-7.9139,39.6668,Bustani B&B
155,Ribeira Grande,PT,59.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
158,George,ZA,62.15,few clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
159,Malakal,SS,75.09,clear sky,9.5334,31.6605,Nile Palace Hotel
160,Namatanai,PG,79.48,light rain,-3.6667,152.4333,Seagulls Inn Namatani
162,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
163,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
167,Treinta Y Tres,UY,79.97,few clouds,-33.2333,-54.3833,Jardines Apart-Hotel
168,Lata,PT,48.06,clear sky,40.1629,-8.3327,Casa Maquia
171,Garowe,SO,68.68,overcast clouds,8.4054,48.4845,Curubo Hotel
172,Ahipara,NZ,64.6,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
173,Correntina,BR,74.43,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
174,Sao Lourenco Do Sul,BR,78.85,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
177,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
179,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
182,Vilhena,BR,79.02,broken clouds,-12.7406,-60.1458,Hotel Mirage
184,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
185,Waw,SS,73.0,clear sky,7.7029,27.9953,Universal Gab Hotel
189,Poum,NC,80.89,scattered clouds,-20.2333,164.0167,Gîte kajeon
190,Bayshore Gardens,US,52.99,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
191,Peniche,PT,60.1,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
193,Meulaboh,ID,77.63,overcast clouds,4.1363,96.1285,Kost Pria
196,Porto Novo,BJ,84.02,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
